County,State,FIPS Code,Weighted Ed Level,Opioid Prescribing Rate per 100
SEVIER,AR,5133,160.71137975124958,57.1
CALHOUN,AR,5013,204.19715055833655,73.7
CLARK,AR,5019,249.8466325850189,95.3
BRADLEY,AR,5011,191.83190831362563,109.6
LAWRENCE,AR,5075,204.1366156046969,35.8
MONROE,AR,5095,181.5498652291105,85.6
POLK,AR,5113,199.351870176133,105.8
CONWAY,AR,5029,202.42435811778182,122.1
OUACHITA,AR,5103,205.22602346377883,138.7
NEWTON,AR,5101,207.17903266649785,0.9
ARKANSAS,AR,5001,197.56974716652138,116.0
LITTLE RIVER,AR,5081,197.5988474467745,158.4
LONOKE,AR,5085,214.25357701766154,95.4
CARROLL,AR,5015,213.75350946656107,78.4
MILLER,AR,5091,203.16270566727604,102.5
MODOC,CA,6049,223.21171121215482,82.3
MERCED,CA,6047,166.42881184786268,56.6
LAKE,CA,6033,220.734846711912,90.0
MARIPOSA,CA,6043,259.87654320987656,55.9
YUBA,CA,6115,200.868120679492,68.9
CONTRA COSTA,CA,6013,268.43722133920926,36.2
INYO,CA,6027,241.73124484748558,50.3
LASSEN,CA,6035,215.98983158563712,67.2
STANISLAUS,CA,6099,189.07844923499678,76.0
SANTA BARBARA,CA,6083,241.40624294576023,48.7
SONOMA,CA,6097,263.6797000856385,46.0
TEHAMA,CA,6103,202.44438471389947,83.2
IMPERIAL,CA,6025,168.13127580477558,47.6
MONO,CA,6051,250.24185517143263,44.6
SAN BENITO,CA,6069,198.94496429241022,39.7
ALAMEDA,CA,6001,281.1864765604146,26.4
SACRAMENTO,CA,6067,240.42309749899692,44.3
EL DORADO,CA,6017,271.9606518390401,55.7
NAPA,CA,6055,253.8541186482749,35.1
SAN DIEGO,CA,6073,260.7460870703924,34.3
MONTEREY,CA,6053,194.68174011007275,43.9
SAN FRANCISCO,CA,6075,337.96656804699495,27.1
SIERRA,CA,6091,267.34835355285963,12.4
TULARE,CA,6107,159.35803351721523,58.3
YOLO,CA,6113,265.81877190094303,41.1
HUMBOLDT,CA,6023,260.45095579009524,77.8
NEVADA,CA,6057,292.1528157186507,70.7
MADERA,CA,6039,173.6039886039886,42.6
MENDOCINO,CA,6045,235.85380070173835,89.7
SANTA CRUZ,CA,6087,271.68442123522027,49.1
TRINITY,CA,6105,242.73222367109,81.2
LOS ANGELES,CA,6037,231.4960178006084,29.8
RIVERSIDE,CA,6065,207.3064481473901,44.8
SAN BERNARDINO,CA,6071,199.8537162576253,46.7
SANTA CLARA,CA,6085,289.03928682426886,20.7
MARIN,CA,6041,324.0420376206799,32.4
PLACER,CA,6061,275.926237049482,56.5
SISKIYOU,CA,6093,246.1842407535033,97.5
SHASTA,CA,6089,242.24034339561476,102.1
SOLANO,CA,6095,237.75107418484947,37.7
DEL NORTE,CA,6015,208.85139567086946,119.3
COLUSA,CA,6011,173.77903999255085,34.8
GLENN,CA,6021,174.89887238231609,75.4
BUTTE,CA,6007,251.97618191264036,106.7
KINGS,CA,6031,177.14321860663324,59.1
PLUMAS,CA,6063,269.1091647083956,63.5
SAN LUIS OBISPO,CA,6079,274.6529153681114,63.4
FRESNO,CA,6019,189.03064585185916,52.8
KERN,CA,6029,175.19971686862158,54.9
ORANGE,CA,6059,259.4402842244288,37.0
VENTURA,CA,6111,242.38129162076535,47.8
CALAVERAS,CA,6009,249.00015535876778,70.0
SUTTER,CA,6101,197.77470889174853,95.3
SAN MATEO,CA,6081,293.4747527670444,27.0
TUOLUMNE,CA,6109,251.63546633518243,101.6
SAN JOAQUIN,CA,6077,192.57850205688578,47.8
AMADOR,CA,6005,257.0122768455476,99.4
ADAMS,CO,8001,206.5536537870247,47.2
CONEJOS,CO,8021,199.31263041610407,0.8
DOUGLAS,CO,8035,297.2870318439584,45.6
EAGLE,CO,8037,277.99575624464876,41.0
LAKE,CO,8065,250.2873947333244,44.5
LA PLATA,CO,8067,295.4965209568745,51.8
MOFFAT,CO,8081,207.20741421568627,96.9
PITKIN,CO,8097,340.27159519918865,22.2
RIO GRANDE,CO,8105,215.54680664916884,74.1
CHEYENNE,CO,8017,207.7574047954866,63.4
BENT,CO,8011,209.86910093007234,44.1
CROWLEY,CO,8025,213.5291984040624,25.1
LARIMER,CO,8069,297.2726119114377,52.7
LOGAN,CO,8075,227.87297235549465,77.2
MONTEZUMA,CO,8083,241.5405510283275,77.2
SAN MIGUEL,CO,8113,323.69297796002047,29.4
TELLER,CO,8119,284.8373932433001,90.7
YUMA,CO,8125,207.1817192600653,60.7
BOULDER,CO,8013,324.74288311835903,42.2
ELBERT,CO,8039,270.7082637559565,31.5
LAS ANIMAS,CO,8071,242.6542293830825,112.8
LINCOLN,CO,8073,199.03985507246375,40.8
CLEAR CREEK,CO,8019,315.75024305930646,31.0
ROUTT,CO,8107,311.2812512828934,47.8
SUMMIT,CO,8117,305.83069779960977,52.7
ALAMOSA,CO,8003,222.0862649128174,120.4
DELTA,CO,8029,227.36208094781085,77.0
FREMONT,CO,8043,236.92195446449645,67.3
PUEBLO,CO,8101,230.56534939523038,97.7
MONTROSE,CO,8085,230.59303803656985,76.5
MORGAN,CO,8087,192.98083419265373,60.4
MESA,CO,8077,243.75529240984423,72.1
PROWERS,CO,8099,205.2217808672625,73.0
EL PASO,CO,8041,264.25982401389393,60.2
GRAND,CO,8049,290.90110187250724,37.7
ARAPAHOE,CO,8005,269.4895724946218,50.3
OTERO,CO,8089,217.6261937244202,97.7
ARCHULETA,CO,8007,279.8205209656925,66.2
DENVER,CO,8031,284.5839222836188,35.1
KIOWA,CO,8061,219.8830409356725,97.2
HUERFANO,CO,8055,260.8341028008618,76.6
BACA,CO,8009,233.59396816531697,78.7
CHAFFEE,CO,8015,281.50175364013177,84.3
KIT CARSON,CO,8063,210.68060158042312,45.5
GARFIELD,CO,8045,229.074122012253,64.8
GUNNISON,CO,8051,309.1396854764107,44.4
JEFFERSON,CO,8059,290.66838761836715,61.6
OURAY,CO,8091,341.5430904792607,26.2
RIO BLANCO,CO,8103,229.4341924660668,27.5
SEDGWICK,CO,8115,236.52948663555367,0.5
WELD,CO,8123,224.62998155594985,49.9
NEW HAVEN,CT,9009,261.74159955551795,54.2
LITCHFIELD,CT,9005,275.0344259273315,52.0
HARTFORD,CT,9003,265.868932725812,48.9
WINDHAM,CT,9015,241.86451137357082,61.0
NEW LONDON,CT,9011,265.462824812019,55.0
MIDDLESEX,CT,9007,290.8512583023582,54.5
TOLLAND,CT,9013,285.3907754822027,41.3
FAIRFIELD,CT,9001,277.4842504391298,37.2
SANTA ROSA,FL,12113,247.5242537984626,86.6
BROOMFIELD,CO,8014,302.9650140783722,46.4
NEW CASTLE,DE,10003,259.94061646451763,65.0
SUSSEX,DE,10005,243.13503532806618,80.1
KENT,DE,10001,227.0767275982558,64.0
MANATEE,FL,12081,253.9607528153556,70.1
CITRUS,FL,12017,238.08223635347628,102.4
LEVY,FL,12075,204.22279857981013,98.2
BAKER,FL,12003,194.96677197951848,105.4
VOLUSIA,FL,12127,247.88242779470175,73.3
LEON,FL,12073,296.6550071705901,65.7
BROWARD,FL,12011,253.15607781567655,45.6
MADISON,FL,12079,205.9077654174317,74.8
MONROE,FL,12087,278.76343735748253,74.3
ESCAMBIA,FL,12033,250.17584956311867,101.2
HERNANDO,FL,12053,229.2563524315634,102.5
HILLSBOROUGH,FL,12057,247.7700547781157,60.0
OKALOOSA,FL,12091,254.91950544306164,77.7
TAYLOR,FL,12123,193.1185682326622,112.8
WAKULLA,FL,12129,221.6488317609067,79.0
WASHINGTON,FL,12133,193.2003922850605,105.6
DUVAL,FL,12031,244.4502068433177,82.5
BRADFORD,FL,12007,194.31932773109247,85.0
BREVARD,FL,12009,265.1985363870443,83.7
CLAY,FL,12019,233.8140891628257,79.9
LAFAYETTE,FL,12067,183.3026255181944,50.4
LAKE,FL,12069,239.16159588001779,74.1
NASSAU,FL,12089,249.40141518454772,103.2
PINELLAS,FL,12103,270.07270682913577,73.8
POLK,FL,12105,213.47875680714318,68.0
SAINT LUCIE,FL,12111,226.3714047589561,61.1
GLADES,FL,12043,189.10358414791241,3.5
HENDRY,FL,12051,147.37866065943066,65.8
INDIAN RIVER,FL,12061,258.4054709726248,90.5
JACKSON,FL,12063,207.22241666838238,102.7
PALM BEACH,FL,12099,265.22198361055587,53.4
SAINT JOHNS,FL,12109,285.43150703069136,60.6
SEMINOLE,FL,12117,280.4507412188933,52.5
MIAMI-DADE,FL,12086,234.7783728421721,28.0
BAY,FL,12005,235.8661314589961,113.2
FLAGLER,FL,12035,252.63057658429747,74.1
FRANKLIN,FL,12037,222.8950749464668,67.4
GULF,FL,12045,228.39930078661507,90.9
HAMILTON,FL,12047,181.76710212108443,30.2
LIBERTY,FL,12077,190.20007188211332,38.6
OSCEOLA,FL,12097,212.9231658711804,46.3
SUMTER,FL,12119,304.77927951076623,68.9
WALTON,FL,12131,243.41207431804213,83.6
GADSDEN,FL,12039,200.07806909114566,53.2
HOLMES,FL,12059,190.15038751732283,77.3
JEFFERSON,FL,12065,231.8849840255591,46.8
LEE,FL,12071,250.09276384852143,60.8
MARION,FL,12083,229.22991000005814,84.7
HARDEE,FL,12049,152.33843226231429,34.0
COLLIER,FL,12021,266.20017153716356,51.3
OKEECHOBEE,FL,12093,177.5430048722283,91.9
ORANGE,FL,12095,252.59173657744128,41.4
ALACHUA,FL,12001,293.54318588497875,65.0
DISTRICT OF COLUMBIA,DC,11001,324.2919670251386,28.5
PASCO,FL,12101,238.74644675349703,79.7
GILCHRIST,FL,12041,200.84928160083768,43.4
HIGHLANDS,FL,12055,222.3704043842399,74.3
SUWANNEE,FL,12121,197.56698772081984,75.9
DE SOTO,FL,12027,169.1632796075683,56.5
CALHOUN,FL,12013,183.62844100152162,68.4
CHARLOTTE,FL,12015,261.760834930384,74.2
COLUMBIA,FL,12023,214.43548858127446,110.5
DIXIE,FL,12029,187.1408442075599,42.2
MARTIN,FL,12085,275.04736095145745,70.3
PUTNAM,FL,12107,191.95278525574653,100.8
SARASOTA,FL,12115,287.075849905765,72.9
UNION,FL,12125,187.2745098039216,51.8
CLAY,GA,13061,179.39814814814815,43.5
GLYNN,GA,13127,241.39719889297567,93.7
DEKALB,GA,13089,266.732738640285,40.6
HARALSON,GA,13143,190.3836780168512,180.2
LINCOLN,GA,13181,204.77600411946446,32.9
JACKSON,GA,13157,206.6263645048629,109.1
JEFFERSON,GA,13163,174.35752789269148,112.9
JONES,GA,13169,216.99719691660823,51.7
MURRAY,GA,13213,159.9026467903864,85.1
MUSCOGEE,GA,13215,229.75680478436624,86.5
PULASKI,GA,13235,208.2046332046332,90.5
RABUN,GA,13241,239.89238106885165,145.8
STEWART,GA,13259,167.86694101508914,54.6
TOWNS,GA,13281,265.07652376264207,87.6
TREUTLEN,GA,13283,197.0527251184834,73.6
TURNER,GA,13287,184.45744151319064,93.7
IRWIN,GA,13155,201.36882948911403,50.0
ATKINSON,GA,13003,152.65247203175747,66.2
APPLING,GA,13001,173.75345135617994,115.4
BACON,GA,13005,184.1829949463605,172.4
BRANTLEY,GA,13025,176.63353430014666,49.3
WHITFIELD,GA,13313,172.38248222925466,86.6
CALHOUN,GA,13037,182.73104720898044,1.3
MACON,GA,13193,178.42778793418645,67.7
TROUP,GA,13285,201.92991805049473,94.2
BIBB,GA,13021,220.79286396444974,119.9
HARRIS,GA,13145,249.0511476594976,4.7
MARION,GA,13197,192.94227623276467,17.2
SCHLEY,GA,13249,194.87229102167183,1.5
WORTH,GA,13321,185.14585035321255,83.6
BLECKLEY,GA,13023,212.21535331403084,121.4
DOOLY,GA,13093,184.43748665765318,0.7
EVANS,GA,13109,180.77530910105048,115.8
FRANKLIN,GA,13119,190.72017198136868,111.3
WEBSTER,GA,13307,185.0399695470118,45.8
EFFINGHAM,GA,13103,203.4841557622576,72.3
LAMAR,GA,13171,216.60102833388032,61.5
EMANUEL,GA,13107,182.48155719491604,109.4
CHATHAM,GA,13051,255.2121496571,77.6
LIBERTY,GA,13179,207.14906632324534,52.9
JASPER,GA,13159,180.71657442470143,55.4
JOHNSON,GA,13167,179.82653061224488,3.0
LANIER,GA,13173,197.90142472083176,68.2
MADISON,GA,13195,205.1713286713287,91.9
MITCHELL,GA,13205,183.37910870913439,92.9
SEMINOLE,GA,13253,203.21675049713417,150.1
TIFT,GA,13277,206.66650218351384,134.1
TWIGGS,GA,13289,174.1078937882975,0.7
POLK,GA,13233,177.63005501399476,151.6
TAYLOR,GA,13269,187.81903955485663,88.1
TERRELL,GA,13273,185.9879705947872,41.4
THOMAS,GA,13275,217.24153287759694,102.8
TOOMBS,GA,13279,184.89322533136968,128.3
WILKINSON,GA,13319,182.5625888269378,82.3
BEN HILL,GA,13017,182.3992589161649,176.9
BURKE,GA,13033,183.77566791786268,77.1
CATOOSA,GA,13047,222.41536359495979,104.2
CHATTOOGA,GA,13055,173.89067524115754,119.8
COLUMBIA,GA,13073,251.7217146872804,72.5
DECATUR,GA,13087,193.09107056951484,111.8
FLOYD,GA,13115,209.1613023602948,133.8
FORSYTH,GA,13117,268.78466635115944,47.0
HABERSHAM,GA,13137,201.09394229454395,98.9
HART,GA,13147,199.5653025259448,100.5
LOWNDES,GA,13185,225.17092179285765,86.0
MCINTOSH,GA,13191,219.2091600881872,64.8
MERIWETHER,GA,13199,183.85022692889564,74.7
MONROE,GA,13207,226.64303041612243,65.6
PUTNAM,GA,13237,227.09752683154454,62.3
SUMTER,GA,13261,202.55482777723466,108.4
BRYAN,GA,13029,232.3796691798297,82.3
BUTTS,GA,13035,184.8616063847852,90.2
CANDLER,GA,13043,183.90857352671196,149.1
CAMDEN,GA,13039,228.86205312715302,66.3
CARROLL,GA,13045,206.5632125885568,109.1
CRAWFORD,GA,13079,203.35082761404928,0.7
EARLY,GA,13099,196.99183085055262,113.0
CRISP,GA,13081,188.83720930232562,168.0
COFFEE,GA,13069,188.18063556959675,174.1
COWETA,GA,13077,231.77915443973484,74.1
COBB,GA,13067,273.35455814859716,54.4
GILMER,GA,13123,211.96055919497533,116.1
DADE,GA,13083,208.86868935020266,61.4
WALTON,GA,13297,207.43559388917078,100.9
WILKES,GA,13317,192.66027258960122,112.9
BROOKS,GA,13027,196.1545844263869,84.4
DODGE,GA,13091,206.25741822152588,87.8
GORDON,GA,13129,184.28682830001418,106.5
ELBERT,GA,13105,187.27187888842806,137.4
CHEROKEE,GA,13057,248.59387187574185,64.4
FAYETTE,GA,13113,283.8141170924519,79.2
JENKINS,GA,13165,174.6332176055549,27.2
LEE,GA,13177,229.54887732749177,46.4
NEWTON,GA,13217,206.66876106700175,75.8
PICKENS,GA,13227,233.33882608838942,111.5
GREENE,GA,13133,234.6461869471671,129.0
COLQUITT,GA,13071,169.67748964916103,84.9
COOK,GA,13075,188.63874345549738,106.3
DAWSON,GA,13085,247.60439372569135,142.7
HANCOCK,GA,13141,176.9239644629053,43.7
CLAYTON,GA,13063,196.20718584716397,39.4
FULTON,GA,13121,290.1805189921023,44.2
HALL,GA,13139,202.2331682783294,87.1
LUMPKIN,GA,13187,242.54442930908863,73.9
MCDUFFIE,GA,13189,188.45867460908414,142.9
MILLER,GA,13201,194.6804894629504,101.6
MORGAN,GA,13211,223.83278743129964,77.4
HEARD,GA,13149,185.0090462651848,0.5
OCONEE,GA,13219,278.66952073835205,59.4
DOUGHERTY,GA,13095,210.9809663250366,104.8
FANNIN,GA,13111,229.6813725490196,128.5
HENRY,GA,13151,228.1206035695567,70.6
HOUSTON,GA,13153,232.03650368163045,85.7
LAURENS,GA,13175,194.70401045288827,116.8
LONG,GA,13183,196.23676989415915,0.1
SPALDING,GA,13255,196.3593594217348,121.9
STEPHENS,GA,13257,211.12975609756097,153.4
TELFAIR,GA,13271,169.09235571332397,60.3
UNION,GA,13291,248.94888150211122,106.0
UPSON,GA,13293,196.5245226934949,137.9
WASHINGTON,GA,13303,187.8620891446406,85.5
WHITE,GA,13311,227.45448805640322,92.0
PEACH,GA,13225,224.59392459392458,79.1
PAULDING,GA,13223,218.32754808102416,53.5
PIERCE,GA,13229,192.67540880831726,62.5
PIKE,GA,13231,208.21474412634632,10.8
RICHMOND,GA,13245,215.81997142403554,77.1
SCREVEN,GA,13251,196.68020232243356,60.2
TATTNALL,GA,13267,183.6705771199118,52.9
BERRIEN,GA,13019,188.15609550857266,52.8
WALKER,GA,13295,203.41354632774124,46.8
GWINNETT,GA,13135,236.95955071835175,43.5
BARROW,GA,13013,195.97864152651835,74.0
CHARLTON,GA,13049,185.11918537375607,90.5
CLINCH,GA,13065,171.40542133176194,146.7
BARTOW,GA,13015,204.06731434473753,97.9
DOUGLAS,GA,13097,223.84339859581027,84.7
GRADY,GA,13131,187.64372404982433,77.7
JEFF DAVIS,GA,13161,175.05833722248147,84.0
MONTGOMERY,GA,13209,205.5791118054006,46.2
OGLETHORPE,GA,13221,199.55643510304355,36.1
RANDOLPH,GA,13243,178.71218429086875,123.5
ROCKDALE,GA,13247,222.45767500734615,73.5
WARE,GA,13299,192.7062317865949,212.7
WAYNE,GA,13305,189.28703114001274,136.1
WHEELER,GA,13309,179.69064386317908,2.4
WILCOX,GA,13315,187.5,2.8
BALDWIN,GA,13009,223.20820611944563,90.4
BANKS,GA,13011,183.101889669444,29.2
BULLOCH,GA,13031,246.84575954001792,77.7
CLARKE,GA,13059,280.789776130275,90.9
HAWAII,HI,15001,250.74748503756524,58.4
HONOLULU,HI,15003,262.3640991455063,29.4
MAUI,HI,15009,244.1813838409692,51.3
KAUAI,HI,15007,248.8599440169918,48.9
ONEIDA,ID,16071,196.87208216619982,95.0
CASSIA,ID,16031,180.3766189502386,93.2
GEM,ID,16045,211.12759643916914,101.9
LINCOLN,ID,16063,164.21827794561932,13.4
VALLEY,ID,16085,271.5261282660333,84.9
FRANKLIN,ID,16041,194.41310975609755,70.0
NEZ PERCE,ID,16069,240.6032888489029,110.3
JEROME,ID,16053,165.02886410000434,63.1
KOOTENAI,ID,16055,242.64760737503997,85.0
LEWIS,ID,16061,216.68410041841003,7.4
MINIDOKA,ID,16067,178.4673317683881,29.2
TWIN FALLS,ID,16083,210.8136368057582,91.9
OWYHEE,ID,16073,170.0632466619817,30.3
BLAINE,ID,16013,262.5862947690312,44.4
BOUNDARY,ID,16021,213.08840413318023,89.5
BUTTE,ID,16023,223.00038270187522,83.9
CARIBOU,ID,16029,210.59457883998834,94.1
GOODING,ID,16047,179.44407677035076,50.9
ADA,ID,16001,265.138571924333,64.5
BANNOCK,ID,16005,236.32851045617207,93.2
BEAR LAKE,ID,16007,213.74957926624035,105.2
BINGHAM,ID,16011,193.3875553792237,61.6
BONNEVILLE,ID,16019,220.36158110213398,83.6
CANYON,ID,16027,192.37780579344727,69.2
CLEARWATER,ID,16035,238.53275518574947,90.3
JEFFERSON,ID,16051,193.76504925209778,35.8
LATAH,ID,16057,297.2685221076569,55.5
CUSTER,ID,16037,249.67399178942287,26.0
LEMHI,ID,16059,245.17085751128306,91.5
PAYETTE,ID,16075,197.9377380796007,43.9
BENEWAH,ID,16009,206.40883977900552,69.7
BONNER,ID,16017,241.03213475092585,56.1
ELMORE,ID,16039,210.4795669411406,64.5
FREMONT,ID,16043,208.68182170843357,30.4
MADISON,ID,16065,248.5578306006642,50.9
SHOSHONE,ID,16079,210.05604483586868,95.5
IDAHO,ID,16049,229.2043010752688,43.3
TETON,ID,16081,261.7204899777283,49.9
POWER,ID,16077,172.62292943785053,64.9
WASHINGTON,ID,16087,206.94277711084433,100.8
HANCOCK,IL,17067,236.27901883486643,20.1
MADISON,IL,17119,248.0235052770399,97.2
GRUNDY,IL,17063,228.00150994377447,80.4
KANKAKEE,IL,17091,219.75794442288426,76.3
MERCER,IL,17131,227.30783841965302,18.0
DUPAGE,IL,17043,287.80190722302234,42.2
SANGAMON,IL,17167,260.23196422623073,85.4
MENARD,IL,17129,239.29606958762886,25.3
RANDOLPH,IL,17157,210.0490420055439,63.9
MORGAN,IL,17137,232.483595610011,114.3
COOK,IL,17031,256.94138883326485,37.2
OGLE,IL,17141,226.25583602936905,22.5
MACON,IL,17115,232.83389257066375,86.5
